,Game title,Reviews,Rating,Sale percentage,Release date,Pris,OrdinariePris,Win,Linux,OSX,Tid
0,Tom Clancy's Rainbow Six速 Siege,"672,090",7 ,-67%,"1 Dec, 2015","9,89","29,99",1,0,0,07Dec2020
1,Phoenix Point: Year One Edition,393,5 ,-50%,"3 Dec, 2020","24,99","49,99",1,0,1,07Dec2020
2,GreedFall,"9,512",5 ,-60%,"9 Sep, 2019","19,99","49,99",1,0,0,07Dec2020
3,Deep Rock Galactic,"53,837",8 ,-30%,"13 May, 2020","20,99","29,99",1,0,0,07Dec2020
4,Hell Let Loose,"18,862",7 ,-25%,"6 Jun, 2019","22,49","29,99",1,0,0,07Dec2020
5,The Elder Scrolls速 Online,"72,622",7 ,-60%,"22 May, 2017","7,99","19,99",1,0,1,07Dec2020
6,Dying Light,"151,239",7 ,-60%,"26 Jan, 2015","11,99","29,99",1,1,1,07Dec2020
7,Dying Light Enhanced Edition,"155,839",7 ,-70%,,"14,99","49,99",1,1,1,07Dec2020
8,Last Epoch,"2,881",7 ,-20%,"30 Apr, 2019","23,99","29,99",1,1,0,07Dec2020
9,Creeper World 4,500,8 ,-10%,"3 Dec, 2020","18,89","20,99",1,0,0,07Dec2020
10,Space Haven,"2,992",7 ,-20%,"21 May, 2020","17,59","21,99",1,1,1,07Dec2020
11,Per Aspera,728,4 ,-10%,"3 Dec, 2020","26,99","29,99",1,0,0,07Dec2020
12,Lonely Mountains: Downhill,765,7 ,-33%,"23 Oct, 2019","13,39","19,99",1,0,1,07Dec2020
13,Tom Clancy's Rainbow Six速 Siege - Year 5 Pass,"3,535",7 ,-30%,"18 Feb, 2020","17,49","24,99",1,0,0,07Dec2020
14,Katana ZERO,"26,979",8 ,-40%,"18 Apr, 2019","7,49","12,49",1,0,1,07Dec2020
15,Train Sim World速 2,"1,563",7 ,-20%,"20 Aug, 2020","23,99","29,99",1,0,0,07Dec2020
16,Wolcen: Lords of Mayhem,"52,980",4 ,-25%,"13 Feb, 2020","26,24","34,99",1,0,0,07Dec2020
17,Frostpunk,"47,883",7 ,-66%,"24 Apr, 2018","10,19","29,99",1,0,0,07Dec2020
18,Space Engineers,"71,949",7 ,-30%,"28 Feb, 2019","11,89","16,99",1,0,0,07Dec2020
19,Shadow Empire,60,7 ,-20%,"3 Dec, 2020","27,19","33,99",1,0,0,07Dec2020
20,Door Kickers: Action Squad,"4,057",7 ,-80%,"10 Sep, 2018","2,39","11,99",1,0,0,07Dec2020
21,MORDHAU,"66,180",7 ,-25%,"29 Apr, 2019","18,74","24,99",1,0,0,07Dec2020
22,In Silence,"3,483",7 ,-20%,"16 Oct, 2020","6,55","8,19",1,0,1,07Dec2020
23,Space Engineers Ultimate Edition,"73,307",7 ,-25%,,"32,51","43,32",1,0,0,07Dec2020
24,Deep Rock Galactic: Deluxe Edition,"54,070",8 ,-37%,,"28,95","45,97",1,0,0,07Dec2020
